permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
NSH251111522,2025-11-10,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 1571 West End Ave,1571 West End Ave,Nashville,37208,Johnson Properties,Franklin Construction,(615) 919-3989,1535632,APPROVED,1
NSH251111523,2025-11-04,REPAIR,Repair Project,REPAIR at 947 Nolensville Pike,947 Nolensville Pike,Nashville,37211,Martinez LLC,Green Hills Builders,(615) 391-4024,22784,PENDING,4
NSH251111524,2025-11-19,REPAIR,Repair Project,REPAIR at 7038 Charlotte Ave,7038 Charlotte Ave,Nashville,37209,Anderson Group,East Nashville Construction,N/A,71546,FINAL,35
NSH251111525,2025-11-20,REMODEL,Remodel Project,REMODEL at 776 Murfreesboro Pike,776 Murfreesboro Pike,Nashville,37203,Smith Development LLC,Franklin Construction,(615) 507-5653,302270,PENDING,6
NSH251111526,2025-11-06,ALTERATION,Alteration Project,ALTERATION at 7153 Nolensville Pike,7153 Nolensville Pike,Nashville,37212,Davis Investments,N/A,N/A,60062,ISSUED,20
NSH251111527,2025-11-08,ELECTRICAL,Electrical Project,ELECTRICAL at 2658 Woodland St,2658 Woodland St,Nashville,37211,Miller Construction,East Nashville Construction,(615) 818-4745,59880,ISSUED,3
NSH251111528,2025-11-09,REMODEL,Remodel Project,REMODEL at 1529 21st Ave,1529 21st Ave,Nashville,37208,Thomas Enterprises,Volunteer State Contractors,(615) 385-7806,195273,FINAL,22
NSH251111529,2025-11-09,MECHANICAL,Mechanical Project,MECHANICAL at 2320 Franklin Pike,2320 Franklin Pike,Nashville,37201,Martinez LLC,Nashville Home Improvement,(615) 850-2050,40132,PENDING,6
NSH251111530,2025-11-03,MECHANICAL,Mechanical Project,MECHANICAL at 5214 Broadway,5214 Broadway,Nashville,37201,Brown Holdings,Nashville Home Improvement,(615) 720-3993,15248,FINAL,20
NSH251111531,2025-11-12,COMMERCIAL,Commercial Project,COMMERCIAL at 5794 Woodland St,5794 Woodland St,Nashville,37206,Williams Ventures,Tennessee Premier Builders,(615) 940-3979,1128879,APPROVED,22
NSH251111532,2025-11-13,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 7874 Dickerson Pike,7874 Dickerson Pike,Nashville,37208,Williams Ventures,Nashville Home Improvement,(615) 981-5912,1760614,ISSUED,20
NSH251111533,2025-11-21,PLUMBING,Plumbing Project,PLUMBING at 5735 Woodland St,5735 Woodland St,Nashville,37208,Johnson Properties,Brentwood Builders Inc,(615) 829-9231,75492,APPROVED,21
NSH251111534,2025-11-05,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 4348 Dickerson Pike,4348 Dickerson Pike,Nashville,37212,Thomas Enterprises,Nashville Builders LLC,(615) 517-8439,333141,ISSUED,34
NSH251111535,2025-11-20,MECHANICAL,Mechanical Project,MECHANICAL at 2326 Church St,2326 Church St,Nashville,37211,Miller Construction,N/A,N/A,68615,ISSUED,1
NSH251111536,2025-11-05,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 7004 Broadway,7004 Broadway,Nashville,37211,Miller Construction,East Nashville Construction,(615) 754-6695,493773,FINAL,6
NSH251111537,2025-11-26,MECHANICAL,Mechanical Project,MECHANICAL at 4845 Hillsboro Pike,4845 Hillsboro Pike,Nashville,37215,Miller Construction,Brentwood Builders Inc,(615) 780-2601,20296,APPROVED,2
NSH251111538,2025-11-13,ALTERATION,Alteration Project,ALTERATION at 4643 Dickerson Pike,4643 Dickerson Pike,Nashville,37206,Wilson Properties,Nashville Builders LLC,(615) 747-5716,9451,FINAL,19
NSH251111539,2025-11-26,ELECTRICAL,Electrical Project,ELECTRICAL at 6517 Murfreesboro Pike,6517 Murfreesboro Pike,Nashville,37208,Williams Ventures,Green Hills Builders,(615) 404-2733,5696,ISSUED,20
NSH251111540,2025-11-22,MECHANICAL,Mechanical Project,MECHANICAL at 4764 Hillsboro Pike,4764 Hillsboro Pike,Nashville,37204,Brown Holdings,N/A,(615) 345-7783,86197,PENDING,2
NSH251111541,2025-11-15,DEMOLITION,Demolition Project,DEMOLITION at 4160 21st Ave,4160 21st Ave,Nashville,37212,Wilson Properties,Green Hills Builders,(615) 799-3808,35558,PENDING,22
NSH251111542,2025-11-09,DEMOLITION,Demolition Project,DEMOLITION at 3627 Murfreesboro Pike,3627 Murfreesboro Pike,Nashville,37211,Smith Development LLC,East Nashville Construction,(615) 899-5901,70634,ISSUED,7
NSH251111543,2025-11-04,REMODEL,Remodel Project,REMODEL at 8596 Franklin Pike,8596 Franklin Pike,Nashville,37211,Wilson Properties,Green Hills Builders,(615) 973-2608,343412,FINAL,20
NSH251111544,2025-11-28,REMODEL,Remodel Project,REMODEL at 4550 Franklin Pike,4550 Franklin Pike,Nashville,37201,Brown Holdings,Brentwood Builders Inc,N/A,91860,PENDING,2
NSH251111545,2025-11-26,COMMERCIAL,Commercial Project,COMMERCIAL at 2556 Franklin Pike,2556 Franklin Pike,Nashville,37206,Martinez LLC,Nashville Home Improvement,(615) 898-2339,573208,APPROVED,5
NSH251111546,2025-11-12,ROOFING,Roofing Project,ROOFING at 680 Murfreesboro Pike,680 Murfreesboro Pike,Nashville,37212,Smith Development LLC,Green Hills Builders,(615) 405-3646,27923,ISSUED,2
NSH251111547,2025-11-27,COMMERCIAL,Commercial Project,COMMERCIAL at 3710 Franklin Pike,3710 Franklin Pike,Nashville,37209,Thomas Enterprises,Nashville Builders LLC,(615) 858-7900,1403819,ISSUED,19
NSH251111548,2025-11-09,REMODEL,Remodel Project,REMODEL at 1191 West End Ave,1191 West End Ave,Nashville,37215,Wilson Properties,Nashville Builders LLC,(615) 437-5482,419107,PENDING,1
NSH251011549,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 7387 Woodland St,7387 Woodland St,Nashville,37206,Williams Ventures,Nashville Builders LLC,(615) 942-3686,19974,FINAL,5
NSH251111550,2025-11-26,REMODEL,Remodel Project,REMODEL at 7602 Hillsboro Pike,7602 Hillsboro Pike,Nashville,37212,Martinez LLC,East Nashville Construction,(615) 790-1095,162935,PENDING,3
NSH251111551,2025-11-15,ROOFING,Roofing Project,ROOFING at 2232 21st Ave,2232 21st Ave,Nashville,37205,Martinez LLC,Volunteer State Contractors,(615) 839-5827,64187,PENDING,20
NSH251111552,2025-11-27,DEMOLITION,Demolition Project,DEMOLITION at 5311 21st Ave,5311 21st Ave,Nashville,37211,Anderson Group,N/A,(615) 407-1950,73928,PENDING,35
NSH251111553,2025-11-01,ELECTRICAL,Electrical Project,ELECTRICAL at 6329 21st Ave,6329 21st Ave,Nashville,37205,Thomas Enterprises,Nashville Builders LLC,(615) 828-2939,60298,PENDING,3
NSH251111554,2025-11-15,ADDITION,Addition Project,ADDITION at 9367 Franklin Pike,9367 Franklin Pike,Nashville,37209,Williams Ventures,Franklin Construction,(615) 641-8893,284841,PENDING,33
NSH251011555,2025-10-31,ALTERATION,Alteration Project,ALTERATION at 2735 Dickerson Pike,2735 Dickerson Pike,Nashville,37215,Johnson Properties,Green Hills Builders,(615) 948-8108,49361,ISSUED,19
NSH251111556,2025-11-03,COMMERCIAL,Commercial Project,COMMERCIAL at 2261 Murfreesboro Pike,2261 Murfreesboro Pike,Nashville,37201,Davis Investments,Tennessee Premier Builders,(615) 489-9228,1889509,PENDING,22
NSH251111557,2025-11-23,REMODEL,Remodel Project,REMODEL at 6596 Broadway,6596 Broadway,Nashville,37211,Smith Development LLC,Brentwood Builders Inc,(615) 850-3144,139741,PENDING,33
NSH251111558,2025-11-24,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 9085 Dickerson Pike,9085 Dickerson Pike,Nashville,37201,Davis Investments,N/A,N/A,1568125,PENDING,1
NSH251111559,2025-11-07,PLUMBING,Plumbing Project,PLUMBING at 648 Franklin Pike,648 Franklin Pike,Nashville,37206,Johnson Properties,Tennessee Premier Builders,N/A,44000,ISSUED,20
NSH251111560,2025-11-14,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3295 Broadway,3295 Broadway,Nashville,37208,Martinez LLC,Brentwood Builders Inc,(615) 621-8782,549933,APPROVED,2
NSH251111561,2025-11-16,REPAIR,Repair Project,REPAIR at 7936 Dickerson Pike,7936 Dickerson Pike,Nashville,37201,Williams Ventures,N/A,(615) 876-1531,37126,APPROVED,2
NSH251111562,2025-11-12,PLUMBING,Plumbing Project,PLUMBING at 3353 Church St,3353 Church St,Nashville,37208,Martinez LLC,Volunteer State Contractors,N/A,45228,APPROVED,7
NSH251111563,2025-11-20,REPAIR,Repair Project,REPAIR at 5442 Nolensville Pike,5442 Nolensville Pike,Nashville,37206,Miller Construction,Tennessee Premier Builders,(615) 828-3216,71567,PENDING,3
NSH251111564,2025-11-19,COMMERCIAL,Commercial Project,COMMERCIAL at 8040 Murfreesboro Pike,8040 Murfreesboro Pike,Nashville,37203,Brown Holdings,Nashville Home Improvement,(615) 652-6111,1693341,FINAL,1
NSH251111565,2025-11-16,PLUMBING,Plumbing Project,PLUMBING at 9980 Church St,9980 Church St,Nashville,37201,Williams Ventures,Tennessee Premier Builders,(615) 530-3873,61655,ISSUED,2
NSH251111566,2025-11-20,MECHANICAL,Mechanical Project,MECHANICAL at 2960 Franklin Pike,2960 Franklin Pike,Nashville,37205,Martinez LLC,Music City Construction,(615) 333-3356,95339,APPROVED,22
NSH251111567,2025-11-20,PLUMBING,Plumbing Project,PLUMBING at 3803 Church St,3803 Church St,Nashville,37215,Miller Construction,Green Hills Builders,(615) 908-5756,88590,FINAL,2
NSH251111568,2025-11-16,ADDITION,Addition Project,ADDITION at 1123 21st Ave,1123 21st Ave,Nashville,37205,Miller Construction,Music City Construction,(615) 703-5380,434347,FINAL,6
NSH251111569,2025-11-09,RESIDENTIAL,Residential Project,RESIDENTIAL at 1180 Broadway,1180 Broadway,Nashville,37204,Martinez LLC,Cumberland Construction Co,(615) 720-2180,74330,APPROVED,2
NSH251011570,2025-10-30,COMMERCIAL,Commercial Project,COMMERCIAL at 8079 Lebanon Pike,8079 Lebanon Pike,Nashville,37212,Anderson Group,Music City Construction,(615) 651-4922,314735,FINAL,20
NSH251111571,2025-11-23,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 5950 Murfreesboro Pike,5950 Murfreesboro Pike,Nashville,37203,Davis Investments,N/A,N/A,207922,ISSUED,20
NSH251111572,2025-11-15,COMMERCIAL,Commercial Project,COMMERCIAL at 5034 West End Ave,5034 West End Ave,Nashville,37201,Davis Investments,Tennessee Premier Builders,(615) 409-1312,1481216,PENDING,33
NSH251111573,2025-11-24,PLUMBING,Plumbing Project,PLUMBING at 8202 21st Ave,8202 21st Ave,Nashville,37211,Martinez LLC,N/A,N/A,83832,FINAL,35
NSH251111574,2025-11-28,ADDITION,Addition Project,ADDITION at 427 Church St,427 Church St,Nashville,37203,Smith Development LLC,Brentwood Builders Inc,(615) 875-7166,176530,FINAL,34
NSH251111575,2025-11-22,ALTERATION,Alteration Project,ALTERATION at 8514 Broadway,8514 Broadway,Nashville,37205,Wilson Properties,N/A,N/A,66034,ISSUED,7
NSH251111576,2025-11-04,ELECTRICAL,Electrical Project,ELECTRICAL at 4391 Franklin Pike,4391 Franklin Pike,Nashville,37206,Wilson Properties,Nashville Builders LLC,(615) 735-1108,67866,ISSUED,20
NSH251111577,2025-11-19,ROOFING,Roofing Project,ROOFING at 4360 Franklin Pike,4360 Franklin Pike,Nashville,37211,Williams Ventures,Nashville Builders LLC,N/A,52363,PENDING,4
NSH251111578,2025-11-18,REPAIR,Repair Project,REPAIR at 7135 Franklin Pike,7135 Franklin Pike,Nashville,37212,Smith Development LLC,East Nashville Construction,(615) 569-6566,44498,PENDING,2
NSH251111579,2025-11-09,ADDITION,Addition Project,ADDITION at 2450 Nolensville Pike,2450 Nolensville Pike,Nashville,37215,Williams Ventures,Cumberland Construction Co,(615) 919-3711,191826,PENDING,33
NSH251111580,2025-11-10,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 2308 West End Ave,2308 West End Ave,Nashville,37212,Davis Investments,Brentwood Builders Inc,(615) 689-9779,267945,PENDING,21
NSH251111581,2025-11-09,REMODEL,Remodel Project,REMODEL at 7233 Dickerson Pike,7233 Dickerson Pike,Nashville,37212,Wilson Properties,Franklin Construction,N/A,235904,APPROVED,22
NSH251111582,2025-11-19,ELECTRICAL,Electrical Project,ELECTRICAL at 6790 Dickerson Pike,6790 Dickerson Pike,Nashville,37208,Martinez LLC,Music City Construction,N/A,80078,PENDING,20
NSH251111583,2025-11-21,ELECTRICAL,Electrical Project,ELECTRICAL at 794 Murfreesboro Pike,794 Murfreesboro Pike,Nashville,37206,Miller Construction,Volunteer State Contractors,(615) 261-6343,90296,FINAL,22
NSH251111584,2025-11-23,REPAIR,Repair Project,REPAIR at 5813 Murfreesboro Pike,5813 Murfreesboro Pike,Nashville,37215,Anderson Group,N/A,N/A,7532,APPROVED,34
NSH251111585,2025-11-13,REPAIR,Repair Project,REPAIR at 7178 West End Ave,7178 West End Ave,Nashville,37212,Davis Investments,Cumberland Construction Co,(615) 765-8877,8295,PENDING,6
NSH251111586,2025-11-07,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3065 Woodland St,3065 Woodland St,Nashville,37201,Brown Holdings,Tennessee Premier Builders,(615) 281-9192,1070753,ISSUED,34
NSH251111587,2025-11-08,REPAIR,Repair Project,REPAIR at 582 Charlotte Ave,582 Charlotte Ave,Nashville,37215,Anderson Group,Brentwood Builders Inc,N/A,92947,ISSUED,5
NSH251111588,2025-11-22,ELECTRICAL,Electrical Project,ELECTRICAL at 7204 Broadway,7204 Broadway,Nashville,37215,Thomas Enterprises,N/A,N/A,82782,ISSUED,5
NSH251011589,2025-10-29,MECHANICAL,Mechanical Project,MECHANICAL at 9834 Murfreesboro Pike,9834 Murfreesboro Pike,Nashville,37215,Thomas Enterprises,Cumberland Construction Co,N/A,50216,FINAL,34
NSH251111590,2025-11-07,ALTERATION,Alteration Project,ALTERATION at 6917 Broadway,6917 Broadway,Nashville,37204,Anderson Group,Tennessee Premier Builders,(615) 279-5113,56551,ISSUED,1
NSH251111591,2025-11-20,ROOFING,Roofing Project,ROOFING at 519 Broadway,519 Broadway,Nashville,37204,Thomas Enterprises,N/A,N/A,86574,PENDING,6
NSH251011592,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 7257 Murfreesboro Pike,7257 Murfreesboro Pike,Nashville,37211,Thomas Enterprises,N/A,(615) 973-7631,25698,FINAL,20
NSH251111593,2025-11-05,DEMOLITION,Demolition Project,DEMOLITION at 1731 West End Ave,1731 West End Ave,Nashville,37201,Anderson Group,Tennessee Premier Builders,(615) 727-1681,13661,FINAL,2
NSH251111594,2025-11-14,REMODEL,Remodel Project,REMODEL at 6322 Lebanon Pike,6322 Lebanon Pike,Nashville,37208,Johnson Properties,Music City Construction,(615) 672-2217,443420,ISSUED,7
NSH251111595,2025-11-16,COMMERCIAL,Commercial Project,COMMERCIAL at 7917 Hillsboro Pike,7917 Hillsboro Pike,Nashville,37215,Wilson Properties,Volunteer State Contractors,(615) 721-7456,1381314,ISSUED,7
NSH251111596,2025-11-04,REPAIR,Repair Project,REPAIR at 2270 Church St,2270 Church St,Nashville,37206,Davis Investments,East Nashville Construction,(615) 554-2470,77066,ISSUED,34
NSH251111597,2025-11-08,DEMOLITION,Demolition Project,DEMOLITION at 1751 Woodland St,1751 Woodland St,Nashville,37209,Johnson Properties,Nashville Builders LLC,(615) 865-7797,71880,PENDING,19
NSH251111598,2025-11-23,ALTERATION,Alteration Project,ALTERATION at 2722 Nolensville Pike,2722 Nolensville Pike,Nashville,37208,Anderson Group,Volunteer State Contractors,(615) 465-2739,50709,ISSUED,35
NSH251111599,2025-11-27,REMODEL,Remodel Project,REMODEL at 2374 Dickerson Pike,2374 Dickerson Pike,Nashville,37204,Williams Ventures,Brentwood Builders Inc,N/A,267269,PENDING,6
NSH251111600,2025-11-26,ALTERATION,Alteration Project,ALTERATION at 7821 Woodland St,7821 Woodland St,Nashville,37212,Williams Ventures,Brentwood Builders Inc,(615) 703-8643,50541,PENDING,7
NSH251111601,2025-11-14,REMODEL,Remodel Project,REMODEL at 696 Woodland St,696 Woodland St,Nashville,37212,Wilson Properties,Green Hills Builders,N/A,363390,FINAL,34
NSH251111602,2025-11-03,MECHANICAL,Mechanical Project,MECHANICAL at 7969 Nolensville Pike,7969 Nolensville Pike,Nashville,37206,Miller Construction,Nashville Builders LLC,(615) 366-9223,98403,ISSUED,21
NSH251111603,2025-11-12,ALTERATION,Alteration Project,ALTERATION at 7837 Lebanon Pike,7837 Lebanon Pike,Nashville,37204,Davis Investments,Franklin Construction,(615) 664-7437,19571,APPROVED,1
NSH251111604,2025-11-04,ALTERATION,Alteration Project,ALTERATION at 8121 Woodland St,8121 Woodland St,Nashville,37208,Miller Construction,Volunteer State Contractors,(615) 303-5040,56223,PENDING,20
NSH251111605,2025-11-22,RESIDENTIAL,Residential Project,RESIDENTIAL at 9346 Broadway,9346 Broadway,Nashville,37211,Brown Holdings,N/A,(615) 578-6421,68785,APPROVED,5
NSH251111606,2025-11-08,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 6352 Church St,6352 Church St,Nashville,37208,Martinez LLC,East Nashville Construction,(615) 488-5408,669656,FINAL,35
NSH251111607,2025-11-09,MECHANICAL,Mechanical Project,MECHANICAL at 6075 21st Ave,6075 21st Ave,Nashville,37211,Thomas Enterprises,N/A,(615) 900-9600,32219,APPROVED,21
NSH251111608,2025-11-22,ADDITION,Addition Project,ADDITION at 7450 Lebanon Pike,7450 Lebanon Pike,Nashville,37203,Wilson Properties,N/A,N/A,354844,FINAL,35
NSH251011609,2025-10-31,REPAIR,Repair Project,REPAIR at 4915 Nolensville Pike,4915 Nolensville Pike,Nashville,37209,Thomas Enterprises,Brentwood Builders Inc,(615) 255-4358,74837,PENDING,2
NSH251111610,2025-11-16,ROOFING,Roofing Project,ROOFING at 6704 Lebanon Pike,6704 Lebanon Pike,Nashville,37209,Wilson Properties,Nashville Builders LLC,N/A,78089,ISSUED,5
NSH251111611,2025-11-22,REMODEL,Remodel Project,REMODEL at 6611 Charlotte Ave,6611 Charlotte Ave,Nashville,37211,Anderson Group,Volunteer State Contractors,(615) 695-6501,300916,APPROVED,5
NSH251111612,2025-11-04,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3783 Franklin Pike,3783 Franklin Pike,Nashville,37211,Miller Construction,Tennessee Premier Builders,(615) 850-9790,753266,PENDING,5
NSH251011613,2025-10-31,PLUMBING,Plumbing Project,PLUMBING at 7861 Lebanon Pike,7861 Lebanon Pike,Nashville,37211,Davis Investments,East Nashville Construction,(615) 843-3297,64159,APPROVED,3
NSH251111614,2025-11-02,PLUMBING,Plumbing Project,PLUMBING at 6110 Murfreesboro Pike,6110 Murfreesboro Pike,Nashville,37215,Martinez LLC,Green Hills Builders,(615) 720-2343,95452,FINAL,20
NSH251111615,2025-11-03,ELECTRICAL,Electrical Project,ELECTRICAL at 6116 Hillsboro Pike,6116 Hillsboro Pike,Nashville,37201,Miller Construction,N/A,(615) 721-3698,86119,FINAL,34
NSH251011616,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 1695 Broadway,1695 Broadway,Nashville,37211,Brown Holdings,Green Hills Builders,N/A,97769,FINAL,1
NSH251111617,2025-11-01,RESIDENTIAL,Residential Project,RESIDENTIAL at 1777 Hillsboro Pike,1777 Hillsboro Pike,Nashville,37205,Thomas Enterprises,East Nashville Construction,(615) 292-3258,32335,FINAL,2
NSH251111618,2025-11-13,DEMOLITION,Demolition Project,DEMOLITION at 8080 Broadway,8080 Broadway,Nashville,37205,Anderson Group,N/A,(615) 561-3130,71050,FINAL,1
NSH251111619,2025-11-05,REPAIR,Repair Project,REPAIR at 6085 Church St,6085 Church St,Nashville,37208,Thomas Enterprises,Franklin Construction,N/A,69340,PENDING,1
NSH251111620,2025-11-24,REMODEL,Remodel Project,REMODEL at 179 21st Ave,179 21st Ave,Nashville,37215,Martinez LLC,Green Hills Builders,(615) 434-4129,285940,APPROVED,20
NSH251111621,2025-11-27,MECHANICAL,Mechanical Project,MECHANICAL at 6094 Murfreesboro Pike,6094 Murfreesboro Pike,Nashville,37211,Johnson Properties,N/A,(615) 237-8457,20775,PENDING,4
NSH251111622,2025-11-11,ELECTRICAL,Electrical Project,ELECTRICAL at 5078 Hillsboro Pike,5078 Hillsboro Pike,Nashville,37208,Brown Holdings,Green Hills Builders,(615) 357-1670,14581,APPROVED,19
NSH251111623,2025-11-12,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 790 Lebanon Pike,790 Lebanon Pike,Nashville,37212,Williams Ventures,Nashville Builders LLC,(615) 629-6671,1155708,FINAL,34
NSH251111624,2025-11-13,DEMOLITION,Demolition Project,DEMOLITION at 3776 Hillsboro Pike,3776 Hillsboro Pike,Nashville,37203,Martinez LLC,Franklin Construction,N/A,93411,APPROVED,22
NSH251111625,2025-11-28,REPAIR,Repair Project,REPAIR at 4137 Woodland St,4137 Woodland St,Nashville,37206,Smith Development LLC,Volunteer State Contractors,N/A,91988,PENDING,3
NSH251111626,2025-11-21,RESIDENTIAL,Residential Project,RESIDENTIAL at 9483 21st Ave,9483 21st Ave,Nashville,37201,Williams Ventures,N/A,(615) 252-3389,47938,APPROVED,6
NSH251111627,2025-11-17,ELECTRICAL,Electrical Project,ELECTRICAL at 9478 Charlotte Ave,9478 Charlotte Ave,Nashville,37215,Smith Development LLC,Cumberland Construction Co,(615) 305-8454,32613,PENDING,6
NSH251111628,2025-11-26,MECHANICAL,Mechanical Project,MECHANICAL at 8350 Franklin Pike,8350 Franklin Pike,Nashville,37215,Johnson Properties,Tennessee Premier Builders,(615) 433-3539,77280,FINAL,21
NSH251111629,2025-11-18,RESIDENTIAL,Residential Project,RESIDENTIAL at 5345 Franklin Pike,5345 Franklin Pike,Nashville,37206,Davis Investments,Nashville Builders LLC,(615) 677-5864,65319,APPROVED,35
NSH251111630,2025-11-04,ALTERATION,Alteration Project,ALTERATION at 197 Charlotte Ave,197 Charlotte Ave,Nashville,37203,Williams Ventures,Franklin Construction,N/A,97593,ISSUED,1
NSH251011631,2025-10-29,ROOFING,Roofing Project,ROOFING at 3170 Nolensville Pike,3170 Nolensville Pike,Nashville,37203,Davis Investments,Cumberland Construction Co,N/A,21620,APPROVED,5
NSH251111632,2025-11-11,ELECTRICAL,Electrical Project,ELECTRICAL at 6234 West End Ave,6234 West End Ave,Nashville,37208,Williams Ventures,Music City Construction,(615) 765-8471,12927,PENDING,21
NSH251111633,2025-11-25,REMODEL,Remodel Project,REMODEL at 2697 Charlotte Ave,2697 Charlotte Ave,Nashville,37211,Miller Construction,N/A,(615) 345-6739,148519,APPROVED,4
NSH251011634,2025-10-29,ALTERATION,Alteration Project,ALTERATION at 5087 Franklin Pike,5087 Franklin Pike,Nashville,37208,Smith Development LLC,N/A,(615) 827-3353,44999,FINAL,2
NSH251111635,2025-11-22,RESIDENTIAL,Residential Project,RESIDENTIAL at 3654 Woodland St,3654 Woodland St,Nashville,37215,Martinez LLC,Brentwood Builders Inc,N/A,91483,APPROVED,3
NSH251111636,2025-11-28,COMMERCIAL,Commercial Project,COMMERCIAL at 7124 Nolensville Pike,7124 Nolensville Pike,Nashville,37201,Thomas Enterprises,Cumberland Construction Co,(615) 994-7168,1435985,APPROVED,21
NSH251111637,2025-11-05,MECHANICAL,Mechanical Project,MECHANICAL at 456 Hillsboro Pike,456 Hillsboro Pike,Nashville,37211,Johnson Properties,Franklin Construction,(615) 576-7791,83215,APPROVED,4
NSH251011638,2025-10-30,ELECTRICAL,Electrical Project,ELECTRICAL at 6014 Church St,6014 Church St,Nashville,37215,Davis Investments,Nashville Home Improvement,N/A,16967,APPROVED,6
NSH251111639,2025-11-27,PLUMBING,Plumbing Project,PLUMBING at 3166 Franklin Pike,3166 Franklin Pike,Nashville,37211,Smith Development LLC,East Nashville Construction,(615) 974-6918,75742,ISSUED,3
NSH251111640,2025-11-23,ELECTRICAL,Electrical Project,ELECTRICAL at 4201 Broadway,4201 Broadway,Nashville,37211,Martinez LLC,Nashville Home Improvement,(615) 727-9044,51912,FINAL,5
NSH251111641,2025-11-19,REMODEL,Remodel Project,REMODEL at 4067 Broadway,4067 Broadway,Nashville,37203,Wilson Properties,N/A,N/A,376758,APPROVED,19
NSH251111642,2025-11-17,ADDITION,Addition Project,ADDITION at 5310 Lebanon Pike,5310 Lebanon Pike,Nashville,37205,Anderson Group,Green Hills Builders,(615) 979-9642,228838,FINAL,1
NSH251111643,2025-11-12,ROOFING,Roofing Project,ROOFING at 1471 Lebanon Pike,1471 Lebanon Pike,Nashville,37203,Davis Investments,N/A,N/A,12128,ISSUED,6
NSH251111644,2025-11-24,COMMERCIAL,Commercial Project,COMMERCIAL at 8597 West End Ave,8597 West End Ave,Nashville,37208,Johnson Properties,Cumberland Construction Co,(615) 561-4287,1916975,FINAL,1
NSH251011645,2025-10-30,NEW CONSTRUCTION,New Construction Project,NEW CONSTRUCTION at 3313 Hillsboro Pike,3313 Hillsboro Pike,Nashville,37215,Williams Ventures,Green Hills Builders,N/A,346492,ISSUED,19
NSH251111646,2025-11-16,COMMERCIAL,Commercial Project,COMMERCIAL at 1738 Woodland St,1738 Woodland St,Nashville,37209,Smith Development LLC,Green Hills Builders,(615) 814-1927,1853438,ISSUED,1
NSH251111647,2025-11-06,COMMERCIAL,Commercial Project,COMMERCIAL at 688 West End Ave,688 West End Ave,Nashville,37203,Thomas Enterprises,Music City Construction,(615) 228-2691,1169141,APPROVED,19
NSH251011648,2025-10-29,COMMERCIAL,Commercial Project,COMMERCIAL at 4998 Broadway,4998 Broadway,Nashville,37205,Thomas Enterprises,Cumberland Construction Co,(615) 431-2455,901791,APPROVED,19
NSH251111649,2025-11-18,RESIDENTIAL,Residential Project,RESIDENTIAL at 6908 Woodland St,6908 Woodland St,Nashville,37211,Anderson Group,N/A,(615) 265-6017,99043,PENDING,35
NSH251111650,2025-11-11,ADDITION,Addition Project,ADDITION at 249 Hillsboro Pike,249 Hillsboro Pike,Nashville,37209,Johnson Properties,Franklin Construction,(615) 590-2061,84407,PENDING,4
NSH251111651,2025-11-23,ADDITION,Addition Project,ADDITION at 4524 Charlotte Ave,4524 Charlotte Ave,Nashville,37208,Thomas Enterprises,East Nashville Construction,N/A,418178,ISSUED,3
NSH251011652,2025-10-30,DEMOLITION,Demolition Project,DEMOLITION at 3713 West End Ave,3713 West End Ave,Nashville,37209,Johnson Properties,Nashville Home Improvement,N/A,36517,FINAL,35
NSH251111653,2025-11-13,ALTERATION,Alteration Project,ALTERATION at 759 21st Ave,759 21st Ave,Nashville,37208,Brown Holdings,Volunteer State Contractors,(615) 368-4612,16558,FINAL,2
NSH251111654,2025-11-10,PLUMBING,Plumbing Project,PLUMBING at 4202 Lebanon Pike,4202 Lebanon Pike,Nashville,37215,Johnson Properties,N/A,N/A,79143,APPROVED,4
NSH251011655,2025-10-31,DEMOLITION,Demolition Project,DEMOLITION at 8022 Charlotte Ave,8022 Charlotte Ave,Nashville,37204,Miller Construction,Green Hills Builders,N/A,12003,ISSUED,33
NSH251111656,2025-11-26,ELECTRICAL,Electrical Project,ELECTRICAL at 8196 Franklin Pike,8196 Franklin Pike,Nashville,37203,Williams Ventures,Franklin Construction,(615) 898-1207,35099,PENDING,1
NSH251111657,2025-11-24,ALTERATION,Alteration Project,ALTERATION at 8008 Murfreesboro Pike,8008 Murfreesboro Pike,Nashville,37203,Davis Investments,Nashville Builders LLC,N/A,84426,ISSUED,1
