permit_number,issue_date,work_type,project_name,description,address,city,zip_code,owner_name,contractor,contractor_phone,estimated_cost,status,council_district
2025-105520 EP,2025-11-18,N/A,ePlan: Commercial Expedited Review - Change of Use from bank to Retail shell space (2657 SF).,ePlan: Commercial Expedited Review - Change of Use from bank to Retail shell space (2657 SF).,7600 BURNET RD UNIT 260,Austin,N/A,N/A,N/A,5128326955,0,N/A,7
2025-142432 MP,2025-11-18,N/A,Unit A - 2 story Duplex Condo with 2 beds 2.5 bath and attached 2 car garage,Unit A - 2 story Duplex Condo with 2 beds 2.5 bath and attached 2 car garage,1010 BRICKELL LOOP UNIT A,Austin,N/A,N/A,N/A,5125615002,0,N/A,2
2025-083497 PP,2025-11-18,N/A,Phase 2 of 2 phases. Interior improvements including minimal nonstructural demo and new partitions ceilings doors finishes Mech Elect and minimal plumbing rework. Access control.,Phase 2 of 2 phases. Interior improvements including minimal nonstructural demo and new partitions ceilings doors finishes Mech Elect and minimal plumbing rework. Access control.,11920 ALTERRA PKWY UNIT FL8,Austin,N/A,N/A,N/A,7372929481,0,N/A,7
2025-146044 EP,2025-11-18,N/A,THIS Gym - wall reading T on east facade,THIS Gym - wall reading T on east facade,121 PICKLE RD UNIT 100,Austin,N/A,N/A,N/A,N/A,0,N/A,3
2025-144938 PP,2025-11-18,N/A,replace 50 gal electric water heater,replace 50 gal electric water heater,5701 WESTSLOPE DR UNIT 4,Austin,N/A,N/A,N/A,5123658866,0,N/A,10
2025-108158 EP,2025-11-18,N/A,New 150 SF addition in tandem with converting 500 SF attached garage per application for a total additional conditioned space . retroactively permitting wood deck,New 150 SF addition in tandem with converting 500 SF attached garage per application for a total additional conditioned space . retroactively permitting wood deck,5713 PENNY CREEK DR,Austin,N/A,N/A,N/A,5123499473,2688.0,N/A,10
2025-146890 PP,2025-11-18,N/A,Replacement of an existing water heater RITA GALLAHAN,Replacement of an existing water heater RITA GALLAHAN,10005 DERRINGER TRL,Austin,N/A,N/A,N/A,5123333000,0,N/A,4
2025-105519 EP,2025-11-18,N/A,ePlan: Commercial Expedited Review - Change of Use from bank to shell space (3333 SF).,ePlan: Commercial Expedited Review - Change of Use from bank to shell space (3333 SF).,7600 BURNET RD UNIT 250,Austin,N/A,N/A,N/A,5128326955,0,N/A,7
2025-144169 BP,2025-11-18,N/A,Interior remodel of an existing warehouse space for use as indoor pickleball courts. Scope includes minor interior improvements. Office and existing restrooms are not-in-scope.,Interior remodel of an existing warehouse space for use as indoor pickleball courts. Scope includes minor interior improvements. Office and existing restrooms are not-in-scope.,1900 E HOWARD LN BLDG E,Austin,N/A,N/A,N/A,5122522305,0,N/A,1
2025-147237 PP,2025-11-18,N/A,Replacement of an existing water heater JAMES REYOLDS,Replacement of an existing water heater JAMES REYOLDS,9518 TOPRIDGE DR UNIT 11,Austin,N/A,N/A,N/A,5123333000,0,N/A,6
2025-148170 BP,2025-11-18,N/A,express - foundation repair,express - foundation repair,5401 VILLAGE TRL,Austin,N/A,N/A,N/A,7262242320,0,N/A,2
2025-135966 MP,2025-11-18,N/A,New 2 story SFR 4 bed 3.5 bath with attached garage and covered patio/porch,New 2 story SFR 4 bed 3.5 bath with attached garage and covered patio/porch,9304 HAMADRYAS DR,Austin,N/A,N/A,N/A,5129227733,0,N/A,2
2025-147282 PP,2025-11-18,N/A,Excavate to 70ft of water line from home towards meter all outside. THIS IS BEING DONE TO BOTH SIDE A & B. 2 PERMITS AND INSPECTIONS WILL BE DONE. Both lines are going into the same trench.,Excavate to 70ft of water line from home towards meter all outside. THIS IS BEING DONE TO BOTH SIDE A & B. 2 PERMITS AND INSPECTIONS WILL BE DONE. Both lines are going into the same trench.,3002 MATADOR DR BLDG A,Austin,N/A,N/A,N/A,5129007676,0,N/A,3
2025-054586 EP,2025-11-18,N/A,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [1bed 1.5bath] with attached Carport. Bldg 2,ePlan: Residential Expedited Review - New construction of a 3-Story Single Family Res. [1bed 1.5bath] with attached Carport. Bldg 2,1301 WEBBERVILLE RD BLDG 2,Austin,N/A,N/A,N/A,5128392478,0,N/A,1
2024-164755 EP,2025-11-18,N/A,service upgrade,service upgrade,11925 ROTHERHAM DR,Austin,N/A,N/A,N/A,2103169581,0,N/A,1
2025-147223 EP,2025-11-18,N/A,"Request electrical permit for a Temp Loop
Ref 2025-128764 BP","Request electrical permit for a Temp Loop
Ref 2025-128764 BP",2100 MOUNTAIN VIEW RD,Austin,N/A,N/A,N/A,5125288128,0,N/A,10
2025-097738 PP,2025-11-18,N/A,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5 bed 5.5 bath] with third-floor Habitable Attic,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5 bed 5.5 bath] with third-floor Habitable Attic,4004 PETES PATH,Austin,N/A,N/A,N/A,5127846848,0,N/A,10
2025-147040 PP,2025-11-18,N/A,Replacement of an existing water heater Fisher,Replacement of an existing water heater Fisher,6807 CANNONLEAGUE DR,Austin,N/A,N/A,N/A,5124455212,0,N/A,5
2024-018449 PP,2025-11-18,N/A,ePlan: Expedited Review - New Construction of Hangar Building (39993 SF).,ePlan: Expedited Review - New Construction of Hangar Building (39993 SF).,4801 EMMA BROWNING AVE UNIT 1002,Austin,N/A,N/A,N/A,5125590896,0,N/A,2
2025-119343 EP,2025-11-18,N/A,Bldg 3: New construction of a 2-Story Single Family Res. [3 bed 2.5bath] with Attached Carport. Part of 3-unit use.,Bldg 3: New construction of a 2-Story Single Family Res. [3 bed 2.5bath] with Attached Carport. Part of 3-unit use.,205 MEDINA BLDG 3,Austin,N/A,N/A,N/A,5128279950,0,N/A,3
2025-146974 PP,2025-11-18,N/A,replace sewer under pier and beam home and sewer yard line,replace sewer under pier and beam home and sewer yard line,5705 WOODVIEW AVE,Austin,N/A,N/A,N/A,5128378034,0,N/A,7
2025-122378 EP,2025-11-18,N/A,New construction accessory to primary use 2-story accessory structure with 1 bedroom and 1 bath.,New construction accessory to primary use 2-story accessory structure with 1 bedroom and 1 bath.,715 HARRIS AVE,Austin,N/A,N/A,N/A,2108753495,0,N/A,9
2025-146807 MP,2025-11-18,N/A,"Replacement of complete existing central heat and air system with or without duct work HVAC changeout 
Replacing like for like 2T Vertical Gas","Replacement of complete existing central heat and air system with or without duct work HVAC changeout 
Replacing like for like 2T Vertical Gas",3416 ROSEFINCH TRL,Austin,N/A,N/A,N/A,5123333000,0,N/A,8
2025-146367 BP,2025-11-18,N/A,Total Demo of SFR 1048 sqft circa 1971,Total Demo of SFR 1048 sqft circa 1971,1007 EMERALD WOOD DR,Austin,N/A,N/A,N/A,7372941405,1048.0,N/A,3
2025-072711 MP,2025-11-18,N/A,New 2-story accessory structure consisting of a half bathroom covered porch and uncovered wood decks on the 1st floor and an office on the 2nd floor accessed by an exterior wood staircase.,New 2-story accessory structure consisting of a half bathroom covered porch and uncovered wood decks on the 1st floor and an office on the 2nd floor accessed by an exterior wood staircase.,3300 MERRIE LYNN AVE,Austin,N/A,N/A,N/A,5122556201,0,N/A,9
2025-140260 EP,2025-11-18,N/A,Install new 8.500 kw rooftop solar system for existing residential only.,Install new 8.500 kw rooftop solar system for existing residential only.,14201 MOGANO DR,Austin,N/A,N/A,N/A,8005042337,0,N/A,6
2025-119081 EP,2025-11-18,N/A,UP GRADE EXISTING ELETRIC SERVICE TO 300 AMP,UP GRADE EXISTING ELETRIC SERVICE TO 300 AMP,29 HULL CIR,Austin,N/A,N/A,N/A,5406716758,0,N/A,N/A
2025-147063 MP,2025-11-18,N/A,Replacement of complete existing central heat and air system with or without duct work,Replacement of complete existing central heat and air system with or without duct work,8002 FOREST MESA DR BLDG B,Austin,N/A,N/A,N/A,5126603094,0,N/A,10
2025-138061 BP,2025-11-18,N/A,Express - Replace 6 windows and 1 door like for like,Express - Replace 6 windows and 1 door like for like,11509 SWEETWATER TRL,Austin,N/A,N/A,N/A,5128348383,0,N/A,6
2025-130306 EP,2025-11-18,N/A,ePlan: Commercial Expedited Review - First Time Finish Out for Medical Office - Scope includes New Mezzanine (1901 SF).,ePlan: Commercial Expedited Review - First Time Finish Out for Medical Office - Scope includes New Mezzanine (1901 SF).,1701 SIMOND AVE UNIT 107B,Austin,N/A,N/A,N/A,5125894880,0,N/A,9
2025-146687 MP,2025-11-18,N/A,"CHANGE OF USE from Office to Indoor Sports & Recreation Use and Tenant Finish Out

2025 077826 DA -Approved","CHANGE OF USE from Office to Indoor Sports & Recreation Use and Tenant Finish Out

2025 077826 DA -Approved",10901 N LAMAR BLVD BLDG C UNIT 309,Austin,N/A,N/A,N/A,5125657201,0,N/A,4
2025-146896 PP,2025-11-18,N/A,Replacement of an existing water heater 40gal gas water heater changeout,Replacement of an existing water heater 40gal gas water heater changeout,3002 S 5TH ST,Austin,N/A,N/A,N/A,5129299393,0,N/A,3
2025-146069 EP,2025-11-18,N/A,Homebuilder Loop Austin 2 Mile ETJ Austin Energy,Homebuilder Loop Austin 2 Mile ETJ Austin Energy,2613 DERWENT DR,Austin,N/A,N/A,N/A,5122520040,0,N/A,N/A
2025-136994 EP,2025-11-18,N/A,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5bath] with Habitable Attic Attached Garage,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [5bed 5bath] with Habitable Attic Attached Garage,2309 TOWER DR,Austin,N/A,N/A,N/A,5128392478,0,N/A,10
2025-147720 PP,2025-11-18,N/A,Express- Replace tub to shower 1 piece prefabricated acrylic no electrical work needed replace valve with new shower valve only working in wet space.,Express- Replace tub to shower 1 piece prefabricated acrylic no electrical work needed replace valve with new shower valve only working in wet space.,2509 TOULOUSE DR,Austin,N/A,N/A,N/A,7177759506,0,N/A,5
2025-139171 PP,2025-11-18,N/A,Connect Mobile Home and add decks and skirting (front 6x8 & back 4x4),Connect Mobile Home and add decks and skirting (front 6x8 & back 4x4),6600 ELM CREEK DR UNIT 204,Austin,N/A,N/A,N/A,5126709531,0,N/A,2
2025-133115 PP,2025-11-18,N/A,Add HVAC. Relocate the existing laundry to the closet. Repair and replace plumbing and gas lines as needed. Add recessed lighting and additional outlets. Convert tub to shower. Move the bathroom sink and toilet to meet code requirements. Relocate kitchen sink to different wall in kitchen.,Add HVAC. Relocate the existing laundry to the closet. Repair and replace plumbing and gas lines as needed. Add recessed lighting and additional outlets. Convert tub to shower. Move the bathroom sink and toilet to meet code requirements. Relocate kitchen sink to different wall in kitchen.,1609 ALAMEDA DR,Austin,N/A,N/A,N/A,5126537187,0.0,N/A,9
2025-135823 EP,2025-11-18,N/A,New Construction of SFR in ETJ,New Construction of SFR in ETJ,6206 LOST CREEK CIR,Austin,N/A,N/A,N/A,5124917718,0,N/A,N/A
2025-147748 MP,2025-11-18,N/A,Replacement of complete existing central heat and air system with or without duct work Change out Lennox 3.0 Ton Elite (Up-Flow) Gas 80%,Replacement of complete existing central heat and air system with or without duct work Change out Lennox 3.0 Ton Elite (Up-Flow) Gas 80%,8602 GANTTCREST DR,Austin,N/A,N/A,N/A,9722780613,0,N/A,8
2025-145383 PP,2025-11-18,N/A,"Secondary plumbing contractor working on exterior lines only.
110 lf Wastewater line 540 lf of water line.  install W&WW from P/L to bldg. Infrastructure only/No building plumbing/ by others.
SP 2022-0182C.SH","Secondary plumbing contractor working on exterior lines only.
110 lf Wastewater line 540 lf of water line.  install W&WW from P/L to bldg. Infrastructure only/No building plumbing/ by others.
SP 2022-0182C.SH",1124 CLAYTON LN,Austin,N/A,N/A,N/A,5122898473,0,N/A,4
2025-134464 MP,2025-11-18,N/A,Interior remodel of existing office suite.  (3 apps - Suite 600 610 and 620),Interior remodel of existing office suite.  (3 apps - Suite 600 610 and 620),106 E 6TH ST UNIT 610,Austin,N/A,N/A,N/A,5122168321,0,N/A,9
2025-073895 EP,2025-11-18,N/A,Install new energy storage system to existing single family residence. Overhead AE,Install new energy storage system to existing single family residence. Overhead AE,1901 BERKELEY AVE,Austin,N/A,N/A,N/A,8005042337,0,N/A,5
2025-148058 BP,2025-11-18,N/A,Express- Replace walk in shower,Express- Replace walk in shower,2529 BAXTER DR,Austin,N/A,N/A,N/A,5126528517,0,N/A,5
2025-146492 BP,2025-11-18,N/A,New construction single-family residential 1-story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio.,New construction single-family residential 1-story 3 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio.,8804 GOLDEN LION DR,Austin,N/A,N/A,N/A,5123288866,0,N/A,2
2025-097740 PP,2025-11-18,N/A,New pool for single family residence.,New pool for single family residence.,4004 PETES PATH,Austin,N/A,N/A,N/A,5127846848,0,N/A,10
2025-145966 EP,2025-11-18,N/A,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4 bed 4bath] with Habitable Attic Attached 2-car Garage.,ePlan: Residential Expedited Review - New construction of a 2-Story Single Family Res. [4 bed 4bath] with Habitable Attic Attached 2-car Garage.,2206 LA CASA DR,Austin,N/A,N/A,N/A,5128392478,0,N/A,5
2025-146186 PP,2025-11-18,N/A,Express: Tub to shower conversion,Express: Tub to shower conversion,15512 FERNHILL DR,Austin,N/A,N/A,N/A,7202804321,0,N/A,6
2025-146629 EP,2025-11-18,N/A,temporary tpole for new construction for Easton Park,temporary tpole for new construction for Easton Park,9200 HAMADRYAS DR,Austin,N/A,N/A,N/A,5124917718,0,N/A,2
2025-146292 PP,2025-11-18,N/A,Repipe Hot & Cold Water Lines,Repipe Hot & Cold Water Lines,6809 BEATTY DR,Austin,N/A,N/A,N/A,5126374237,0,N/A,8
2025-115046 EP,2025-11-18,N/A,1st generation shell tenant finish out,1st generation shell tenant finish out,12800 PEARCE LN UNIT D,Austin,N/A,N/A,N/A,5129695088,0,N/A,2
2025-147665 PP,2025-11-18,N/A,Replacement of an existing water heater BECKY WEARY,Replacement of an existing water heater BECKY WEARY,3416 ROSEFINCH TRL,Austin,N/A,N/A,N/A,5123333000,0,N/A,8
2025-147831 BP,2025-11-18,N/A,ePlan Review: Remodel Office/Lab - 1st Floor,ePlan Review: Remodel Office/Lab - 1st Floor,5501 W PARMER LN BLDG 2,Austin,N/A,N/A,N/A,6503808574,0,N/A,6
2025-147929 MP,2025-11-18,N/A,Replacement of complete existing central heat and air system with or without duct work,Replacement of complete existing central heat and air system with or without duct work,1707 ULLRICH AVE,Austin,N/A,N/A,N/A,5123457742,0,N/A,7
2025-147672 PP,2025-11-18,N/A,There was a gas leak and Texas Gas Service turned off the gas. This is urgent if this can get processed as soon as possible that would be great.,There was a gas leak and Texas Gas Service turned off the gas. This is urgent if this can get processed as soon as possible that would be great.,1106 W DITTMAR RD,Austin,N/A,N/A,N/A,5129643140,0,N/A,5
2025-121224 MP,2025-11-18,N/A,Interior finish out,Interior finish out,8001 CIRCUIT OF THE AMERICAS BLVD UNIT 812,Austin,N/A,N/A,N/A,5124736645,0,N/A,2
2025-148467 BP,2025-11-18,N/A,In ground Pool/Spa and auto cover,In ground Pool/Spa and auto cover,5108 FAIRVIEW DR,Austin,N/A,N/A,N/A,5122642453,0,N/A,10
2025-119342 EP,2025-11-18,N/A,Bldg 2: New construction of a 3-Story Single Family Res. [3 bed 2.5bath] with Attached Carport balcony. Part of 3-unit use.,Bldg 2: New construction of a 3-Story Single Family Res. [3 bed 2.5bath] with Attached Carport balcony. Part of 3-unit use.,205 MEDINA BLDG 2,Austin,N/A,N/A,N/A,5128279950,0,N/A,3
2025-146973 MP,2025-11-18,N/A,Replacement of mini-split system,Replacement of mini-split system,3207 W SLAUGHTER LN,Austin,N/A,N/A,N/A,5125805555,0,N/A,5
2025-128659 EP,2025-11-18,N/A,"REQUEST TO DISCONNECT Installing a 7.83 kW PV solar system and 1 Tesla PW 3

We need to disconnect the power for the PW install","REQUEST TO DISCONNECT Installing a 7.83 kW PV solar system and 1 Tesla PW 3

We need to disconnect the power for the PW install",7300 ANAQUA DR,Austin,N/A,N/A,N/A,4692095910,0,N/A,10
2022-184021 EP,2025-11-18,N/A,New Pool with required enclosure (Pool #1 Main Residence),New Pool with required enclosure (Pool #1 Main Residence),910 TILLERY ST BLDG 1,Austin,N/A,N/A,N/A,5124024632,0,N/A,3
2025-147582 BP,2025-11-18,N/A,SOW will be to remove existing T-Mobile fiber and replacing it with 31.11 ft of new fiber from Demarc to new AT&T Ciena Box on Existing T-Mobile H-Frame.,SOW will be to remove existing T-Mobile fiber and replacing it with 31.11 ft of new fiber from Demarc to new AT&T Ciena Box on Existing T-Mobile H-Frame.,5715 MESA DR,Austin,N/A,N/A,N/A,7134636200,0,N/A,10
2025-147631 PP,2025-11-18,N/A,Replacement of an existing water heater tankless gas water heater,Replacement of an existing water heater tankless gas water heater,1508 RIDGEHAVEN DR,Austin,N/A,N/A,N/A,5129299393,0,N/A,4
2025-120777 BP,2025-11-18,N/A,Total Demo of Detached Garage 360 sqft,Total Demo of Detached Garage 360 sqft,607 E 38TH ST,Austin,N/A,N/A,N/A,5124090054,360.0,N/A,9
2025-078943 PP,2025-11-18,N/A,Addition/remodel. Addition of an office bathroom covered porch and attached garage to rear of existing noncomplying 1-story single family residence.,Addition/remodel. Addition of an office bathroom covered porch and attached garage to rear of existing noncomplying 1-story single family residence.,816 W GIBSON ST,Austin,N/A,N/A,N/A,5124178702,1465.0,N/A,9
2025-146651 EP,2025-11-18,N/A,Building a 325 Amp Rack Service then going underground to the house panel. The house permit is already active # 2025-039073 EP,Building a 325 Amp Rack Service then going underground to the house panel. The house permit is already active # 2025-039073 EP,5109 BROOKDALE LN,Austin,N/A,N/A,N/A,5127402842,0,N/A,4
2025-146612 BP,2025-11-18,N/A,express - reassembling half bathroom (powder room) approximately 25 sq ft,express - reassembling half bathroom (powder room) approximately 25 sq ft,1207 CHOQUETTE DR,Austin,N/A,N/A,N/A,5124266576,0,N/A,7
2025-146136 PP,2025-11-18,N/A,Replacement of an existing water heater,Replacement of an existing water heater,6507 CAPRIOLA DR,Austin,N/A,N/A,N/A,5122881564,0,N/A,2
2025-136128 PP,2025-11-18,N/A,60 tunnel below the foundation to replace drain system on right side of house. 2 access holes - right front,60 tunnel below the foundation to replace drain system on right side of house. 2 access holes - right front,11005 SPICEWOOD PKWY,Austin,N/A,N/A,N/A,5122195325,0,N/A,6
2025-142710 PP,2025-11-18,N/A,need to repair the plumbing under the house for the sewer line,need to repair the plumbing under the house for the sewer line,5710 MARILYN DR,Austin,N/A,N/A,N/A,5124508085,0,N/A,7
2025-069048 PP,2025-11-18,N/A,New irrigation system with 7 zones,New irrigation system with 7 zones,605 HIGHLAND AVE,Austin,N/A,N/A,N/A,N/A,0,N/A,9
2025-144925 EP,2025-11-18,N/A,need temp power permit for new construction site temp power / trailer,need temp power permit for new construction site temp power / trailer,2730 1/2 E 7TH ST,Austin,N/A,N/A,N/A,2813236200,0,N/A,3
2025-139564 BP,2025-11-18,N/A,Express- Replace siding by the back left and right side of the house. Chimney included,Express- Replace siding by the back left and right side of the house. Chimney included,12319 UTTIMER LN,Austin,N/A,N/A,N/A,5129448029,0,N/A,1
2025-147856 DS,2025-11-18,N/A,Construct new driveway approach of 9FT 10.25IN.  Driveway approach is from the alley.,Construct new driveway approach of 9FT 10.25IN.  Driveway approach is from the alley.,3600 TOM MILLER ST,Austin,N/A,N/A,N/A,N/A,0,N/A,9
2025-057644 MP,2025-11-18,N/A,New 2 story single family residence with 4 Bedrooms 4 1/2 Bathrooms attached 2 car garage attached 2 car garage covered entry porch and patio.,New 2 story single family residence with 4 Bedrooms 4 1/2 Bathrooms attached 2 car garage attached 2 car garage covered entry porch and patio.,9509 BOATHOUSE DR,Austin,N/A,N/A,N/A,5123347344,0,N/A,2
2025-147868 PP,2025-11-18,N/A,Replacement of an existing water heater Remove and replace Water Heater - 40 gal Gas,Replacement of an existing water heater Remove and replace Water Heater - 40 gal Gas,1502 BRAES RIDGE DR,Austin,N/A,N/A,N/A,4302358765,0,N/A,4
2025-131682 BP,2025-11-18,N/A,Express - Replace 8 windows like for like,Express - Replace 8 windows like for like,903 W 31ST ST,Austin,N/A,N/A,N/A,5128348383,0,N/A,9
2025-130842 PP,2025-11-18,N/A,ePlan: Commercial Expedited Review - Phase 1 New Construction of Multi Family Res with New Parking Garage - also to include Leasing Office/Workspace Mailroom Business Center Club Room. Game Room Flex Room Paseo Restrooms Elec/Maint. Room and Bike Room.,ePlan: Commercial Expedited Review - Phase 1 New Construction of Multi Family Res with New Parking Garage - also to include Leasing Office/Workspace Mailroom Business Center Club Room. Game Room Flex Room Paseo Restrooms Elec/Maint. Room and Bike Room.,2915 E CESAR CHAVEZ ST,Austin,N/A,N/A,N/A,2547930155,0,N/A,3
2025-130848 PP,2025-11-18,N/A,ePlan: Commercial Expedited Review - New Construction of Parking Garage.,ePlan: Commercial Expedited Review - New Construction of Parking Garage.,2915 E CESAR CHAVEZ ST BLDG GAR,Austin,N/A,N/A,N/A,2547930155,0,N/A,3
2025-148226 BP,2025-11-18,N/A,Renovation of existing school building for the purpose of a daycare facility. Scope of work includes Architectural facade; Interior modifications additional (900 SF) new classroom building; Full HVAC refurbishment.    [Bldg. B],Renovation of existing school building for the purpose of a daycare facility. Scope of work includes Architectural facade; Interior modifications additional (900 SF) new classroom building; Full HVAC refurbishment.    [Bldg. B],3613 BLUESTEIN DR,Austin,N/A,N/A,N/A,5124744702,0,N/A,1
2024-161241 MP,2025-11-18,N/A,Palisade M2691 Elev C R & L Units New 2 story Single Family Home (Duplex) w/ 3 bedrooms and 2.5 bathrooms and a 2 car attached garage.,Palisade M2691 Elev C R & L Units New 2 story Single Family Home (Duplex) w/ 3 bedrooms and 2.5 bathrooms and a 2 car attached garage.,16712 SONOMA BREEZE DR,Austin,N/A,N/A,N/A,5126323722,0,N/A,1
2025-099710 MP,2025-11-18,N/A,"New construction of single family dwelling with 4 bedrooms and 4.5 baths 3 car garage rear patio and front porch

PUD","New construction of single family dwelling with 4 bedrooms and 4.5 baths 3 car garage rear patio and front porch

PUD",9504 WIGGY WAY,Austin,N/A,N/A,N/A,5125884576,0,N/A,2
2025-081176 EP,2025-11-18,N/A,"Addition

The owners would like to extend their garage to include some workspaces including a shop and a fitness area.","Addition

The owners would like to extend their garage to include some workspaces including a shop and a fitness area.",8212 DARK RIDGE CV,Austin,N/A,N/A,N/A,5127443401,630.0,N/A,8
2025-146713 MP,2025-11-18,N/A,Remodel for Florist Tenant. Minimal scope in whse area. HVAC and Sink,Remodel for Florist Tenant. Minimal scope in whse area. HVAC and Sink,6025 WILCAB RD BLDG 2 UNIT 700,Austin,N/A,N/A,N/A,5127894151,0,N/A,1
2025-147579 BP,2025-11-18,N/A,"2025/12/05 | Winter holiday party.

#Greek","2025/12/05 | Winter holiday party.

#Greek",2501 LEON ST,Austin,N/A,N/A,N/A,3109049276,0,N/A,9
2025-139160 EP,2025-11-18,N/A,Express- Replace plumbing fixtures (no relocation of lines) replacement of  light fixtures (no relocation of electrical) replace front door like for like [other exempt work in attached scope].,Express- Replace plumbing fixtures (no relocation of lines) replacement of  light fixtures (no relocation of electrical) replace front door like for like [other exempt work in attached scope].,12304 BUVANA DR,Austin,N/A,N/A,N/A,512,0,N/A,8
2025-136745 BP,2025-11-18,N/A,Express- New windows (in existing openings) New doors (existing openings) New Interior Doors New Kitchen (No plumbing moving) New floors New Shower Tile New Countertops,Express- New windows (in existing openings) New doors (existing openings) New Interior Doors New Kitchen (No plumbing moving) New floors New Shower Tile New Countertops,5731 SAM HOUSTON CIR,Austin,N/A,N/A,N/A,5125902181,0,N/A,10
2025-146407 PP,2025-11-18,N/A,"Whole house water re-pipe and replace the water heater.
Approximately 75 square feet of drywall removed.
No tunneling.  Water line re-pipe only.","Whole house water re-pipe and replace the water heater.
Approximately 75 square feet of drywall removed.
No tunneling.  Water line re-pipe only.",9811 MARLBOROUGH DR,Austin,N/A,N/A,N/A,5124546499,0,N/A,4
2025-145446 BP,2025-11-18,N/A,Replace 17 windows like for like two doors like for like (exempt),Replace 17 windows like for like two doors like for like (exempt),5901 CARTWRIGHT CV,Austin,N/A,N/A,N/A,5128348383,0,N/A,10
2025-147830 BP,2025-11-18,N/A,Express- handicap ramp,Express- handicap ramp,2816 E 22ND ST,Austin,N/A,N/A,N/A,512,0,N/A,1
2025-130844 PP,2025-11-18,N/A,ePlan: Commercial Expedited Review -  Phase 3 New Construction of Multi Family Res.,ePlan: Commercial Expedited Review -  Phase 3 New Construction of Multi Family Res.,2915 E CESAR CHAVEZ ST,Austin,N/A,N/A,N/A,2547930155,0,N/A,3
2025-130479 DS,2025-11-18,N/A,Construct new driveway approach of 11.1 FT,Construct new driveway approach of 11.1 FT,4700-4723 CLARKSON AVE,Austin,N/A,N/A,N/A,N/A,0,N/A,N/A
2024-165032 DS,2025-11-18,N/A,Construct new driveway approach of 10 FT 8.5IN and sidewalk of 160 LF. Driveway approach is from alley.,Construct new driveway approach of 10 FT 8.5IN and sidewalk of 160 LF. Driveway approach is from alley.,3600 TOM MILLER ST BLDG 1,Austin,N/A,N/A,N/A,5124614255,0,N/A,9
2025-147094 MP,2025-11-18,N/A,Replacement of complete existing central heat and air system with or without duct work Replacing a 3 ton gas system,Replacement of complete existing central heat and air system with or without duct work Replacing a 3 ton gas system,10404 DEDHAM CT,Austin,N/A,N/A,N/A,5123841181,0,N/A,8
2025-146956 PP,2025-11-18,N/A,New Irrigation System,New Irrigation System,2305 BROOKHILL DR,Austin,N/A,N/A,N/A,N/A,0,N/A,5
2025-147858 PP,2025-11-18,N/A,"Water & Wastewater Installation - ref SP-2024-0426CX*

Installation of new 8-inch waterline PVC approximately 558 LF
Installation of new 2-inch waterline PVC approximately 364 LF
Installation of new 2.5 inch waterline PVC approximately 171 LF

Installation of new 4 inch wastewater line PVC SDR-26 approximately 133 LF
Installation of new 6 inch wastewater line PVC SDR-26 approximately 453 LF
Installation of new 10 inch wastewater line PVC approximately 506 LF
Installation of 7 new wastewater manholes","Water & Wastewater Installation - ref SP-2024-0426CX*

Installation of new 8-inch waterline PVC approximately 558 LF
Installation of new 2-inch waterline PVC approximately 364 LF
Installation of new 2.5 inch waterline PVC approximately 171 LF

Installation of new 4 inch wastewater line PVC SDR-26 approximately 133 LF
Installation of new 6 inch wastewater line PVC SDR-26 approximately 453 LF
Installation of new 10 inch wastewater line PVC approximately 506 LF
Installation of 7 new wastewater manholes",7104 BERKMAN DR,Austin,N/A,N/A,N/A,5124106747,0,N/A,1
2025-145754 PP,2025-11-18,N/A,Dig up and replace approximately 30 of waterline from the water meter to the front of the home only to tie into the existing PEX waterline underneath the home.,Dig up and replace approximately 30 of waterline from the water meter to the front of the home only to tie into the existing PEX waterline underneath the home.,1513 CULLEN AVE,Austin,N/A,N/A,N/A,5125805555,0,N/A,7
2025-124756 EP,2025-11-18,N/A,*Partial Demo* Interior remodel of two-story SFR,*Partial Demo* Interior remodel of two-story SFR,1603 SUFFOLK DR,Austin,N/A,N/A,N/A,5125874934,1.0,N/A,4
2025-146073 EP,2025-11-18,N/A,Homebuilder Loop Austin 2 Mile ETJ Austin Energy,Homebuilder Loop Austin 2 Mile ETJ Austin Energy,2608 TOWY RD,Austin,N/A,N/A,N/A,5122520040,0,N/A,N/A
2025-146115 MP,2025-11-18,N/A,Interior Build-out of an Existing Gym for Suite I-100,Interior Build-out of an Existing Gym for Suite I-100,3801 N CAPITAL OF TEXAS HWY NB BLDG I UNIT 100,Austin,N/A,N/A,N/A,5123780805,0,N/A,8
2025-118742 EP,2025-11-18,N/A,Interior Finish Out for Suites 100 & 200,Interior Finish Out for Suites 100 & 200,3208 RED RIVER ST UNIT 200,Austin,N/A,N/A,N/A,5128446384,0,N/A,9
